lema,nilai,nilai1
A,huruf pertama abjad Indonesia,nama huruf a
ab,wadah kecil dari timah untuk candu,hap
abad,masa seratus tahun,jangka waktu yang lamanya seratus tahun
abah,arah,tuju
abah-abah,alat,perkakas
abaimana,(ark) lubang pelepasan,dubur
abakus,dekak-dekak,swipoa
abal-abal,penjahat kelas kakap,adj palsu
abang,kakak laki-laki,saudara laki-laki yang lebih tua
abangan,(Jw) golongan masyarakat yang menganut agama Islam tetapi tidak melaksanakan ajaran secara keseluruhan,talang air pada atap rumah dsb
abar-abar,dinding penghalang,penyekat
abdi,orang bawahan,pelayan
abdikasi,pelepasan hak wewenang atau kekuasaan (tentang pembesar atau penguasa),turun takhta dengan sukarela (tentang seorang raja)
abdomen,(Bio) bagian tubuh berupa rongga perut yang berisi alat pencernaan,bagian di antara sekat rongga badan dan pinggul (perut bagian bawah)
abduksi,pengambilan secara paksa (terutama perempuan) untuk dikawini atau digauli,(Dok) gerakan ke arah luar sumbu badan (tentang tangan dan kaki) atau ke arah luar sumbu kaki (tentang ibu jari kaki)
abece,a-b-c (abjad Latin),(ki) hal-hal pokok yang pertama-tama harus diketahui dari suatu keadaan atau perkara
abisal,endapan lumpur atau tanah dari dasar laut pada kedalaman 2.2005.500 m,teluk atau palung (lembah) yang sangat dalam
abjad,kumpulan huruf (aksara) berdasarkan urutan yang lazim dalam bahasa tertentu,sistem aksara yang melambangkan bunyi bahasa yang dipakai untuk menuliskan bahasa
ablasi,hal terlepasnya sesuatu dari sesuatu,(Bio) penghilangan dengan jalan pembedahan jaringan atau organ tubuh
aboi,sebutan bagi pembesar orang Cina,kepala kampung orang Cina pada sebuah luak (misal di Kalimantan Barat)
abolisi,(Huk) peniadaan peristiwa pidana,penghapusan (perbudakan di Amerika)
abonemen,(Bld) hal berlangganan,uang untuk berlangganan
abortus,(Dok) fetus dengan berat kurang dari 500 g pada saat dikeluarkan dari uterus yang tidak mempunyai kemungkinan hidup,guguran (janin)
abrasi,(Geo) pengikisan batuan oleh air es atau angin yang mengandung dan mengangkut hancuran bahan,luka lecet atau jejas karena pengikisan kulit oleh benda kasar
abreviasi,(Ling) pemendekan bentuk sebagai pengganti bentuk yang lengkap,bentuk singkatan tertulis sebagai pengganti kata atau frasa
absente,seseorang yang tidak hadir,ketidakhadiran seseorang
absenteisme,ketidakhadiran yang terus-menerus (dalam perusahaan sekolah dsb),(Huk) pemilikan atau perwalian tanah oleh orang-orang yang tidak hidup di tanah tersebut dan tidak mengolah tanah itu sendiri tetapi mengambil hasilnya melalui penggarapnya
absorben,(Fis) zat yang menyerap materi atau tenaga,(Kim) zat yang dapat menyerap atau menarik gas lembapan atau cairan ke dalam pori-porinya
absorpsi,penyerapan,(Dok) daya jaringan untuk menyerap benda-benda lain dari luar
abstraksi,proses atau perbuatan memisahkan,penyusunan abstrak
abu,sisa yang tinggal setelah suatu barang mengalami pembakaran lengkap,debu
abu-abu,warna antara hitam dan putih (serupa dengan warna abu kayu bakar),kelabu
abuan,bagian hasil sawah yang disediakan untuk yang mengerjakan,uang simpanan untuk cadangan
abuk,serbuk (tentang barang yang lumat halus seperti tepung),rambut
abulhayat,bapak kehidupan,hujan
abus,mata uang timah yang terkecil zaman dahulu harganya sepersepuluh duit,(ki) tidak berharga
acara,hal atau pokok yang akan dibicarakan (dalam rapat perundingan dsb),agenda
acaram,(kl) cincin,tanda bahwa suatu perjanjian jual beli telah dibuat
aci-aci,umpama,andaikata
acuan,cetakan (kue peluru dsb),rujukan
acuman,hasutan,tantangan
Adam,nama manusia laki-laki pertama yg dijadikan oleh Tuhan,(ditulis dengan huruf kecil) laki-laki
adan,→ azan,→ adnan
adanya,keadaan,hal ada
adaptor,alat untuk menghubungkan dua bagian benda misal yang berbeda diameternya,alat listrik yang memungkinkan sesuatu dapat dipakai untuk tujuan tertentu yang berbeda dari tujuan yang dirancang semula misal alat yang mengubah arus bolak-balik menjadi arus searah untuk pemanfaatan listrik tertentu
adat,aturan (perbuatan dsb) yang lazim diturut atau dilakukan sejak dahulu kala,cara (kelakuan dsb) yang sudah menjadi kebiasaan
adegan,pemunculan tokoh baru atau pergantian susunan (layar) pada pertunjukan wayang,bagian babak dalam lakon (sandiwara film)
adendum,jilid tambahan (pada buku),lampiran
adenoid,(Dok) pertumbuhan mirip kelenjar pada tenggorok dan bagian belakang hidung,pembesaran dan peradangan pada tenggorok dan bagian belakang hidung
adhesi,keadaan melekat pada benda lain,(Fis) gaya atau kakas tarik-menarik antarmolekul yang tidak sejenis
adibintang,bintang lapangan,pemain andalan yang berbakat
adik,saudara kandung yang lebih muda (laki-laki atau perempuan),kerabat yang lebih muda (dari pertalian kekeluargaan)
adipati,gelar raja muda atau wakil raja (di Jawa dipunyai oleh Paku Alam dan Mangkunegara),gelar kebangsawanan yang tinggi (misal di Kalimantan)
adiratna,permata yang mulia,(ki) perempuan yang cantik
adisi,penambahan yang dilakukan secara terus-menerus,hasil penambahan
aditokoh,tokoh utama,tokoh yang dianggap mulia membawa keberuntungan dsb
administrasi,usaha dan kegiatan yang meliputi penetapan tujuan serta penetapan cara-cara penyelenggaraan pembinaan organisasi,usaha dan kegiatan yang berkaitan dengan penyelenggaraan kebijakan untuk mencapai tujuan
administrator,direktur perusahaan,pengurus
adonan,adukan tepung santan susu dll (sebagai bahan pembuat kue),adukan semen dengan pasir dsb untuk pelekat batu bata atau penghalus dinding batu
adopsi,pengangkatan anak orang lain sebagai anak sendiri,(Huk) penerimaan suatu usul atau laporan (misal dalam proses legislatif)
adrenalin,(Dok) hormon yang dihasilkan kelenjar adrenal,hormon yang diperoleh dari kelenjar adrenal hewan atau hormon yang dibuat secara sintetis digunakan dalam bentuk suntikan untuk menaikkan tekanan darah dan denyut jantung
aduan,perlombaan,pertandingan
adukan,barang yang diaduk,hasil mengaduk
aduksi,(Dok) gerakan mendekati sumbu memanjang,(Bio) penggerakan anggota tubuh mendekati poros median atau mendekati badan
advokat,ahli hukum yang berwenang sebagai penasihat atau pembela perkara dalam pengadilan,pengacara
aerob,(Bio) sifat makhluk yang untuk hidup dan pertumbuhannya memerlukan oksigen bebas,makhluk yang dapat hidup hanya apabila tersedia oksigen bebas
afair,hubungan asmara yang berlangsung singkat (tidak dilanjutkan dengan perkawinan),kejadian yang menghebohkan atau skandal
afeksi,(Psi) rasa kasih sayang,perasaan dan emosi yang lunak
afiliasi,pertalian sebagai anggota atau cabang,perhubungan
afinitas,ketertarikan atau simpati yang ditandai oleh persamaan kepentingan,(Kim) kecenderungan suatu unsur atau senyawa untuk membentuk ikatan kimia dengan unsur atau senyawa lain
afirmasi,penetapan yang positif,penegasan
afrodisiak,(Kim) zat kimia yang digunakan untuk merangsang daya seksual seperti yohimbina,(Dok) obat perangsang kegiatan seksual
agak,perkiraan,persangkaan
agal,serat kulit batang gebang (untuk dibuat tali),penyu yang besar sekali
agar-agar,ganggang laut yang dapat dimakan,Eucheuma spinosum
agas,nyamuk kecil yang apabila menyengat pedih sekali warnanya abu-abu,serangga kecil yang sangat mengganggu
agen,(Ek) orang atau perusahaan perantara yang meng-usahakan penjualan bagi perusahaan lain atas nama peng-usaha,perwakilan
agen tunggal,(Ek) penyalur yang me-nyelenggarakan distribusi dan penjualan,penyalur satu-satunya untuk daerah tertentu
agenda,buku catatan yang bertanggal untuk satu tahun,acara (yang akan dibicarakan dalam rapat)
agitasi,hasutan kepada orang banyak (untuk mengadakan huru-hara pemberontakan dsb) biasanya dilakukan oleh tokoh atau aktivis partai politik,pidato yang berapi-api untuk mempengaruhi massa
aglomerasi,(Ek) pengumpulan atau pemusatan dalam lokasi atau kawasan tertentu,(Kim) pengumpulan dan/atau penumpukan partikel atau zat menjadi satu
aglomerat,(Geo) gumpalan batuan yang terdiri atas komponen batu bersudut batu bulat atau kerikil yang pekat menjadi satu karena adanya bahan perekat (misal tanah liat),batuan sedimen untuk batuan endapan vulkanis yang diikat oleh abu kepundan
aglutinasi,(Bio) penggumpalan butir-butir darah merah bakteri tepung sari dan spermatozoa yang disebabkan oleh penambahan aglutinin dari bahan yang bersangkutan,(Kim) penyatuan sel atau bakteri akibat interaksi bakteri dan serum kekebalan yang bersangkutan
aglutinin,(Bio) substansi yang dapat menyebabkan penggumpalan bakteri atau sel darah merah,(Kim) sekumpulan senyawa yang terbentuk dalam darah akibat inokulasi atau infeksi bakteri yang dapat menyebabkan penggumpalan bersama bakteri itu
agon,(Sas) adegan dalam drama yang menunjukkan perdebatan (perselisihan) antara tokoh protagonis dan tokoh antagonis,(Lay) garis di peta yang menghubungkan tempat-tempat yang variasinya nol
agonia,(Dok) penderitaan berat,adj sekarat
agraria,urusan pertanian atau tanah pertanian,urusan pemilikan tanah
agregasi,pengumpulan sejumlah benda yang terpisah-pisah menjadi satu,(Bio) sejumlah tumbuhan atau binatang yang merupakan suatu kesatuan dalam kelompok yang lebih besar
agregat,hasil proses agregasi,mesin kecil pembangkit listrik
agresi,penyerangan suatu negara terhadap negara lain,serangan
agus,sebutan atau panggilan untuk anak laki-laki,bagus
Ahad,hari pertama dalam jangka waktu satu minggu,Minggu
ahimsa,ajaran agama Hindu dan Buddha untuk tidak menyakiti makhluk apa pun dan menghindari kekerasan,ajaran Mahatma Gandhi yang melarang membunuh (menyakiti) dan menggunakan kekerasan
ahli,orang yang mahir paham sekali dalam suatu ilmu (kepandaian),adj mahir benar
ahli hadis,orang yang ahli dalam seluk-beluk hadis,orang yang berpegang pada hadis
ahli nujum,orang yang pandai meramalkan sesuatu dengan melihat bintang,orang yang pandai meramal nasib orang dengan melihat tapak tangan dsb
ahli tasawuf,orang yang mahir dalam ilmu tasawuf,orang yang menganut dan melaksanakan tasawuf
ahli Taurat,(Isl) penganut ajaran kitab Taurat pada zaman Nabi Musa a.s.,(Kris) pengajar dan penafsir Kitab Perjanjian Lama khususnya kelima kitab Musa (Taurat atau Pentateukh)
ain,mata,mata air
